ID,Question,Answer,Tags
"15","كيف يمكنني إنشاء خصومات أو عروض كومبو؟","انتقل إلى العروض > إضافة جديد. يمكنك إنشاء خصومات مئوية، ثابتة، أو عروض كومبو بسهولة."
"16","هل Tijarah360 سحابي؟","نعم، يمكنك الوصول إلى نظامك من أي جهاز متصل بالإنترنت."
"17","هل يمكنني استخدام النظام على الهاتف المحمول؟","نعم، يدعم Tijarah360 Pocket POS للفوترة وأخذ الطلبات من الهاتف."
"18","كيف يمكنني إضافة موظف جديد؟","انتقل إلى إعدادات الموظفين > إضافة مستخدم. يمكنك تعيين الصلاحيات والأدوار."
"19","ما هي الأجهزة المتوافقة مع النظام؟","يعمل Tijarah360 مع أجهزة Imin M2 Max، الماسحات الضوئية، الأجهزة اللوحية بنظام أندرويد، والهواتف المحمولة، وأجهزة Sunmi V2s."
"20","هل يمكنني تتبع الأرباح وقيمة المخزون؟","نعم، يمكنك رؤية هامش الأرباح والقيمة الحالية للمخزون من لوحة التحكم."
"21","هل يدعم النظام تشغيل المطابخ السحابية؟","نعم، يدعم إدارة المطابخ السحابية مع الطلبات عبر الإنترنت، وطباعة KOT، وتتبع التوصيل."
"22","كيف يمكنني إعداد فئات المنتجات؟","انتقل إلى الكتالوج > إدارة الفئات > إضافة فئة. يمكنك تعيين المنتجات لهذه الفئات."
"23","هل يمكنني تخصيص شكل الإيصال؟","نعم، يمكنك إضافة الشعار، اسم النشاط، تفاصيل الضريبة، والرسائل المخصصة في أسفل الفاتورة."
"24","هل يدعم النظام اللغة العربية؟","نعم، النظام ثنائي اللغة بالكامل: العربية والإنجليزية، بما في ذلك واجهة المستخدم والفواتير والإيصالات."
"25","هل يوفر النظام تحليلات فورية؟","نعم، لوحة التحكم توفر تحليلات مباشرة للمبيعات، المخزون، والعملاء."
"26","هل يمكنني طباعة أوامر المطبخ تلقائيًا؟","نعم، يتم إنشاء أوامر المطبخ تلقائيًا بناءً على التعيينات."
"27","كيف أطبق الضرائب أو رسوم الخدمة؟","يمكنك ضبط الضرائب ورسوم الخدمة من الإعدادات > الضرائب والرسوم."
"28","ماذا يحدث عند انخفاض المخزون؟","يعرض النظام تنبيهًا بانخفاض المخزون ويتيح إعادة الطلب مباشرة."
"29","هل يمكنني معرفة الموظف الذي أدار الطلب؟","نعم، كل معاملة يتم تسجيلها مع تفاصيل الموظف المسؤول."
"30","هل يدعم النظام المرتجعات والاسترداد؟","نعم، يمكن إرجاع أو استرداد المنتجات مباشرة من شاشة الفوترة."
"31","كيف أطبق الخصومات عند الدفع؟","يمكنك تطبيق خصومات مئوية أو ثابتة مباشرة أثناء الدفع."
"32","هل يمكنني تقييد صلاحيات الموظفين؟","نعم، يمكنك ضبط أدوار وصلاحيات المستخدم لكل موظف."
"33","هل يمكنني إعداد عروض لفترة محدودة؟","نعم، يمكنك إنشاء عروض لفترة محدودة أو ساعات السعادة."
"34","هل يمكنني رفع المنتجات بالجملة عبر إكسل؟","نعم، يمكنك رفع ملف إكسل في قسم استيراد المنتجات."
"35","هل يعمل النظام دون اتصال بالإنترنت؟","نعم، الوظائف الأساسية للفوترة تعمل دون إنترنت وتتم المزامنة عند الاتصال."
"36","هل يمكن للعملاء الطلب عبر QR؟","نعم، يدعم النظام الطلب عبر QR للطلبات الداخلية والخارجية."
"37","هل يعمل النظام في السوبرماركت؟","نعم، يستخدم Tijarah360 في السوبرماركت مع دعم المسح الضوئي وإدارة المخزون."
"38","كيف يمكنني إدارة المواد الخام في المطبخ؟","استخدم وحدة الوصفات لتحديد المكونات والكميات والاستهلاك."
"39","هل يتم احتساب ضريبة القيمة المضافة تلقائيًا؟","نعم، يتم احتساب الضريبة تلقائيًا حسب أنظمة المملكة."
"40","هل يدعم النظام الفروع المتعددة؟","نعم، يمكنك إدارة عدة فروع من لوحة تحكم مركزية."
"41","هل يمكنني تتبع حركة المخزون؟","نعم، يمكنك عرض حركات الشراء، المبيعات، والهدر في وحدة المخزون."
"42","هل يمكنني إنشاء وجبات كومبو أو حزم منتجات؟","نعم، يمكنك إنشاء عروض كومبو بدمج عدة منتجات في عرض واحد."
"43","ماذا يحدث إذا انقطع الإنترنت؟","يستمر النظام في العمل للفوترة دون اتصال، ويتم المزامنة عند عودة الإنترنت."
"44","هل يعتمد النظام على أجهزة معينة؟","لا، يعمل على أجهزة أندرويد، الحواسيب المحمولة، الأجهزة اللوحية، وأجهزة نقاط البيع."
"45","هل يمكنني دمج الطابعة الحالية؟","نعم، معظم الطابعات الحرارية عبر البلوتوث أو الشبكة متوافقة."
"46","كيف يمكنني تدريب الموظفين بسرعة؟","يوفر النظام أدلة داخل التطبيق، فيديوهات تدريبية، ودعم العملاء."
"47","هل يمكنني تشغيل عروض لفئات محددة؟","نعم، يمكن ضبط عروض خاصة لفئات معينة مع تحديد وقت البداية والنهاية."
"48","هل هناك خيارات لآراء العملاء؟","نعم، يمكنك تفعيل نماذج ملاحظات العملاء بعد الفاتورة عبر الرسائل أو البريد."
"49","كيف يتم التعامل مع رسوم التوصيل؟","يمكن إضافتها يدويًا أو حسابها تلقائيًا."
"50","هل يمكنني تصدير التقارير إلى إكسل؟","نعم، جميع التقارير (مبيعات، مخزون، أرباح) قابلة للتنزيل بصيغة إكسل."
"51","هل يمكنني إدارة الموردين والمشتريات؟","نعم، يمكنك إضافة الموردين، إنشاء أوامر شراء، وتتبع إيصالات الاستلام."
"52","كيف أعرف المنتجات الأكثر مبيعًا؟","استخدم تقارير المبيعات حسب المنتج لتحديد أفضل المنتجات أداءً."
"53","هل يدعم النظام الأنشطة الخدمية؟","نعم، يدعم فوترة المنتجات والخدمات مع إدخالات مخصصة."
"54","هل يتم تخزين بيانات العملاء بأمان؟","نعم، يتم تخزين جميع بيانات العملاء والمبيعات بشكل آمن وسحابي."
"55","هل يمكنني عرض بيانات المعاملات السابقة؟","نعم، يمكنك البحث حسب التاريخ أو المستخدم أو رقم الفاتورة."
"56","كيف أبدّل بين اللغتين؟","اذهب إلى إعدادات النظام > اللغة لاختيار العربية أو الإنجليزية."
"57","هل يمكنني استخراج تقارير ضريبية؟","نعم، تتوفر تقارير ضريبية متوافقة مع متطلبات ZATCA للتدقيق."
"58","كيف أتابع تقدم التوصيل؟","يمكن تتبع الطلبات مباشرة، ويتم تحديث حالة التوصيل في لوحة التحكم."
"59","هل يدعم النظام العملات المتعددة؟","النظام يدعم الريال السعودي بشكل افتراضي، ويمكن تفعيل عملات أخرى عند الطلب."
"60","ما هي أنواع صلاحيات المستخدمين المتاحة؟","يمكنك إنشاء صلاحيات مثل: الكاشير، المدير، موظف المطبخ، أو مدير المخزون."
"61","هل يمكنني أرشفة المنتجات القديمة؟","نعم، يمكن أرشفة المنتجات غير النشطة دون حذفها من قاعدة البيانات."
"62","كيف يتم إعداد تقارير نهاية اليوم؟","يقوم النظام بإنشاء تقارير يومية تشمل المبيعات، التدفقات النقدية، والأرباح."
"63","هل يمكنني ربط النظام ببرامج المحاسبة؟","نعم، يمكن الربط عبر API أو تصدير البيانات."
"64","هل يوفر النظام واجهة API؟","نعم، يمكن للمطورين استخدام API للدمج مع أنظمة أخرى."
"65","كيف يتم التعامل مع مرتجعات المشتريات؟","يمكن إدارة المرتجعات للموردين عبر وحدة مرتجعات المشتريات."
"66","هل يمكنني جدولة النسخ الاحتياطية؟","نعم، يتم إجراء نسخ احتياطي يوميًا عبر التخزين السحابي الآمن."
"67","هل يدعم النظام إدارة الفرانشايز؟","نعم، يمكن إدارة العلامات التجارية المتعددة ونماذج الفرانشايز."
"68","كيف أمنع الإدخالات المكررة؟","يقوم النظام بالتحقق لمنع تكرار المنتجات أو الباركود أثناء الإدخال."
"69","هل يمكنني ضبط سجلات نشاط المستخدم؟","نعم، جميع الأنشطة الرئيسية يتم تسجيلها في سجل النشاط."
"70","ماذا يحدث إذا توقفت الطابعة؟","تستمر الفوترة رقميًا، ويمكن إرسال الفواتير بالبريد أو إعادة طباعتها لاحقًا."
"71","هل يدعم النظام محافظ العملاء؟","نعم، يمكن شحن محفظة العميل واستخدامها للمدفوعات المستقبلية."
"72","هل يمكنني إرسال رسائل SMS للعروض؟","نعم، يمكن إرسال حملات SMS مخصصة مباشرة إلى العملاء."
"73","هل يعمل النظام في عربات الطعام؟","نعم، يعمل بشكل مثالي للأكشاك وعربات الطعام."
"74","هل يمكنني الوصول للنظام عبر المتصفح؟","نعم، يمكن الدخول من أي متصفح متصل بالإنترنت."
"75","كيف أرفع شكوى أو ملاحظة؟","اذهب إلى الدعم > فتح تذكرة أو تواصل عبر الواتساب مباشرة."
"76","هل يمكن للعملاء الحجز المسبق؟","نعم، يمكن إجراء الطلبات المسبقة وتتبعها للتوصيل أو الاستلام لاحقًا."
"77","هل يوجد تسجيل دخول بالبصمة للموظفين؟","نعم، يدعم النظام المصادقة البيومترية على الأجهزة المتوافقة."
"78","هل يمكنني جدولة نوبات الموظفين؟","نعم، النظام يدعم جدولة النوبات وتتبع الحضور."
"79","كيف تتم فوترة وجبات الكومبو؟","يتم التعامل مع الكومبو كعنصر واحد مع تقسيم داخلي للسعر."
"80","هل يدعم النظام الموازين الإلكترونية؟","نعم، يمكن دمج أجهزة الوزن لإدخال الأوزان أثناء الفوترة."
"81","كيف أضيف بيانات العميل عند الدفع؟","أثناء الفوترة، اضغط على ""إضافة عميل"" لإدخال الاسم، رقم الهاتف، أو رقم الولاء."
"82","هل يمكنني تصدير قائمة العملاء؟","نعم، يمكن تصدير بيانات العملاء (البريد، الهاتف، وسجل المشتريات) إلى ملف إكسل."
"83","كيف تتم معالجة الملاحظات الخاصة في أوامر المطبخ؟","يمكن إضافة ملاحظات خاصة لكل منتج، وستظهر في أمر المطبخ المطبوع."
"84","كيف تتم الفوترة عند وجود شرائح ضريبية مختلفة؟","يمكن تخصيص الضرائب لكل منتج أو خدمة حسب الحاجة."
"85","هل يمكنني منع الكاشير من منح خصومات؟","نعم، يمكن ضبط الصلاحيات بحيث لا يوافق على الخصومات إلا المدير."
"86","ما نوع الدعم التدريبي المتوفر؟","يوفر النظام فيديوهات تعليمية، مستندات تعريفية، وجلسات مباشرة عبر Zoom عند الحاجة."
"87","هل يدعم النظام الفوترة التلقائية للاشتراكات؟","نعم، يمكن للنظام إنشاء فواتير متكررة تلقائيًا للخدمات بنظام الاشتراك."
"88","هل يمكن إدخال البيانات بلوحة مفاتيح عربية؟","نعم، يدعم النظام إدخال اللغة العربية في جميع النماذج بما في ذلك أسماء المنتجات والملاحظات."
"89","كيف أعمل نسخة احتياطية من قائمة المنتجات؟","يمكنك تصدير قائمة المنتجات بالكامل إلى ملف إكسل من قسم المخزون > تصدير المنتجات."
"90","هل يمكنني تصنيف النفقات؟","نعم، يمكن تتبع النفقات التشغيلية مثل الإيجار والمرافق باستخدام التصنيفات."
"91","كيف يتم تسجيل البضائع التالفة؟","يمكن تسجيلها تحت المخزون > الهدر/التلف لمتابعة الخسائر."
"92","هل يدعم النظام رموز QR لبرامج الولاء؟","نعم، يمكن أن تتضمن برامج الولاء رموز QR مرتبطة بملف العميل."
"93","هل يمكنني ضبط تنبيهات لانتهاء الصلاحية؟","نعم، يمكن إضافة تواريخ انتهاء للمنتجات مع تنبيهات عند اقترابها."
"94","هل توجد إشعارات لانخفاض البطارية أو الأخطاء؟","على نقاط البيع المحمولة، تظهر تنبيهات للبطارية والاتصال والأعطال."
"95","هل يمكنني الوصول إلى الفواتير القديمة في أي وقت؟","نعم، جميع الفواتير مؤرشفة وقابلة للبحث حسب العميل أو المنتج أو التاريخ."
"96","كيف أتعامل مع العروض ذات الحد الأدنى للشراء؟","يمكن تحديد قيمة طلب دنيا من قسم العروض > الشروط."
"97","هل يمكنني تطبيق ضريبة مختلفة للطلبات الداخلية والتيك أواي؟","نعم، يمكن إعداد قواعد ضريبية بناءً على نوع الطلب."
"98","كيف أطبع إيصالات مكررة؟","انتقل إلى سجل الفوترة، اختر الفاتورة، واضغط ""إعادة الطباعة""."
"99","هل يتوفر دعم عملاء على مدار الساعة؟","نعم، Tijarah360 يوفر دعمًا عبر الواتساب، الهاتف، والبريد الإلكتروني على مدار الساعة."
"100","كيف أنشئ فاتورة في Tijarah360؟","في شاشة POS، امسح أو ابحث عن المنتجات، أضفها إلى السلة، اختر طريقة الدفع (نقد/بطاقة/محفظة)، ثم اضغط ""إنشاء فاتورة""."
"101","كيف أضيف طابعة في Tijarah360؟","1. نزّل برنامج Super Printer. 2. افتح التطبيق وانتقل إلى قسم الطابعات. 3. اضغط ""إضافة"". 4. أدخل تفاصيل الطابعة (الاسم، الحجم، العرض، عدد الأحرف في السطر، وعدد النسخ). 5. اختر التفعيل للإيصالات أو أوامر المطبخ أو الباركود. 6. اضغط ""حفظ""."
"102","هل يدعم Tijarah360 المطابخ المتعددة؟","نعم، يدعم النظام إدارة عدة مطابخ مع تقسيم أوامر KOT."
"103","هل يمكنني إعادة طباعة أوامر المطبخ؟","نعم، يمكن إعادة طباعة أي أمر مطبخ من السجل."
"104","هل يمكنني ضبط صلاحيات للوصول إلى التقارير فقط؟","نعم، يمكنك إنشاء دور مخصص يسمح بالاطلاع على التقارير فقط."
"105","هل يمكن للنظام دمج الطلبات بين الطاولات؟","نعم، يمكن دمج الطلبات بين الطاولات المختلفة بسهولة."
