50,Can I export reports to Excel?,"Yes, all reports—sales, inventory, profits—can be downloaded as Excel files."
51,Can I manage suppliers and purchases in Tijarah360?,"Yes, you can add suppliers, create purchase orders, and track goods received through the Purchase & GRN modules."
52,How do I know which products sell best?,Use item-wise sales reports to identify your top-performing products and plan accordingly.
53,Can Tijarah360 handle service-based businesses?,"Yes, it supports both product and service billing with customizable entries."
54,Is customer data stored securely?,"Yes, all customer and sales data are securely stored and backed up on the cloud."
55,Can I view historical transaction data?,"Yes, you can filter and access past transactions by date, user, or invoice number."
56,How can I switch between languages?,Go to System Settings > Language to switch between Arabic and English.
57,Can I generate tax reports?,"Yes, VAT-compliant tax reports are available for download to support ZATCA audits."
58,How can I monitor delivery progress?,"Orders can be tracked in real-time, and delivery statuses are updated on the dashboard."
59,Does the POS support multiple currencies?,"Tijarah360 currently supports Saudi Riyal (SAR), but multi-currency can be enabled on request."
60,What kind of user roles can I create?,"You can create roles like cashier, admin, kitchen staff, inventory manager, etc., with custom permissions."
61,Can I archive old or unused products?,"Yes, outdated SKUs can be archived without deleting them from the database."
62,How do I handle end-of-day reports?,"The system generates daily closing reports including sales, cash flow, and profit."
63,Can I integrate with accounting software?,"Yes, integration with external accounting platforms is available via APIs or export."
64,Does Tijarah360 offer API access?,"Yes, developers can use the API for third-party integrations and automation."
65,How are purchase returns handled?,Returned items to suppliers can be managed from the Purchase Return module.
66,Can I schedule system backups?,Data backups are automatically maintained daily through secure cloud storage.
67,Is there support for franchise operations?,"Yes, multi-brand and franchise models can be managed under one platform."
68,How can I prevent duplicate entries?,System checks prevent duplicate products or barcode entries during input.
69,Can I set user activity logs?,"Yes, all major actions by users are tracked in the Activity Log for transparency."
70,What if the printer stops working?,Billing continues digitally and invoices can be emailed or reprinted later.
71,Does the POS support customer wallets?,"Yes, customer wallet balance can be added and used for future purchases."
72,Can I send SMS alerts for promotions?,"Yes, SMS campaigns can be run directly to your customer list with custom messages."
73,Does Tijarah360 work for food trucks?,"Yes, mobile-friendly POS works perfectly for food trucks and pop-up outlets."
74,Can I access Tijarah360 on a browser?,"Yes, full access is available via browser from any internet-connected device."
75,How can I log complaints or feedback?,Go to Support > Raise Ticket or contact the WhatsApp support line directly.
76,Can customers pre-order items?,"Yes, pre-orders can be placed and tracked for future pickup or delivery."
77,Is there biometric login for staff?,Biometric authentication is supported on compatible devices.
78,Can I schedule staff shifts?,"Yes, shift scheduling and attendance tracking are available for registered staff."
79,How are combo meals billed?,Combo meals are treated as a single item with internal price split across components.
80,Does Tijarah360 support weigh-scale billing?,"Yes, integrated weigh-scale devices can directly input weights during billing."
81,How do I add customer details at checkout?,"During billing, click ""Add Customer"" to enter name, phone, or loyalty ID."
82,Can I export customer lists?,"Yes, customer data with email, phone, and purchase history can be exported to Excel."
83,How are special instructions handled in KOT?,"Special notes can be added per item, and they will reflect in the KOT print."
84,How is billing handled for different tax slabs?,Taxes can be customized per product or service as required.
85,Can I restrict cashiers from offering discounts?,"Yes, permissions can be set so only managers can approve manual discounts."
86,What kind of training support is offered?,"You get video tutorials, onboarding documents, and live Zoom sessions if needed."
88,Is auto-billing supported for subscriptions?,Tijarah360 can auto-generate recurring invoices for subscription-type services.
89,Does the system support Arabic keyboard input?,"Yes, Arabic can be entered across all forms including product names and notes."
90,How can I back up my product list?,Export the full product list in Excel from the Inventory > Product Export section.
91,Can I categorize expenses?,"Yes, operational expenses like rent, utilities, etc., can be tracked with tags."
92,How are damaged goods recorded?,Mark them under Inventory > Wastage/Breakage for loss tracking.
93,Does the system support loyalty QR codes?,"Yes, loyalty programs can include QR codes linked to the customer profile."
94,Can I set alerts for expiry dates?,"Yes, expiration dates can be added to items and alerts shown when near expiry."
95,Is there a notification system for low battery or errors?,"On mobile POS, alerts are shown for battery, connectivity, and device issues."
96,Can I access old invoices anytime?,"Yes, invoices are archived and searchable by customer, item, or date."
97,How can I handle promotions with minimum purchase value?,Set minimum order value under Promotions > Conditions.
98,Can I apply different tax rates for dine-in and takeaway?,"Yes, tax rules can be configured based on order type."
99,How do I print duplicate receipts?,"Go to Billing History, select the invoice, and click ""Reprint.""
100,Is 24/7 customer support available?,"Tijarah360 offers 24/7 WhatsApp, call, and email support for all plans."
103,How can I generate a bill in Tijarah360?,"In the POS screen, scan or search products, add to cart, choose payment mode (cash/card/wallet), then click ""Generate Bill"" to print or email invoice."
104,How to add a printer on Tijarah360?,"1. First, download and install the Super Printer software. 2. Open the Super Printer app. 3. Go to the Printers section and click the ""Add"" button. 4. Fill in the printer details such as: Printer Name, Printer Size, Width, Characters Per Line, and Number of Copies (1–3). 5. Select required features: Enable for Receipts, KOT (Kitchen Order Tickets), or Barcodes. 6. Click ""Save"" to complete the setup."
105,Does tijarah360 supports multi-kicthen ,Yes Tijarah360 supports and KOT splitting
